epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.8258,1.51991,1.40474,1.14595,0.51651,0.50878,0.51789,0.28268,1.50805,2.34276,1.16833,0.0688611,0.00163889,0.00163889
2,148.661,1.42196,0.96704,1.12086,0.56886,0.54685,0.50598,0.29521,1.45115,2.03232,1.23403,0.0370308,0.00314193,0.00314193
3,228.355,1.41525,0.92706,1.14591,0.68539,0.64601,0.57935,0.34127,1.43448,1.16189,1.19023,0.00503553,0.00447997,0.00447997
4,307.073,1.42808,0.88848,1.13651,0.72393,0.71028,0.64476,0.37399,1.41602,1.27774,1.16943,0.0042575,0.0042575,0.0042575
5,391.145,1.36139,0.82465,1.11352,0.8663,0.63286,0.73429,0.43487,1.46989,1.00821,1.20088,0.00401,0.00401,0.00401
6,478.952,1.34796,0.80416,1.10415,0.86008,0.46557,0.50746,0.30978,1.37981,0.95913,1.18604,0.0037625,0.0037625,0.0037625
7,577.011,1.30727,0.75306,1.07626,0.87081,0.51917,0.57409,0.32882,1.56776,0.95429,1.21818,0.003515,0.003515,0.003515
8,675.815,1.29135,0.71349,1.07569,0.93078,0.81386,0.83042,0.53244,1.24799,0.65152,1.10051,0.0032675,0.0032675,0.0032675
9,760.954,1.29644,0.71652,1.07481,0.9276,0.85526,0.90699,0.56417,1.31506,0.70402,1.10795,0.00302,0.00302,0.00302
10,840.28,1.25707,0.67936,1.06207,0.93255,0.89859,0.94534,0.51063,1.53152,0.70575,1.20044,0.0027725,0.0027725,0.0027725
11,917.351,1.24916,0.67256,1.05612,0.96145,0.9371,0.97709,0.65379,1.18926,0.58685,1.07103,0.002525,0.002525,0.002525
12,998.127,1.23788,0.65213,1.0486,0.96948,0.93793,0.9732,0.62776,1.25489,0.59156,1.0962,0.0022775,0.0022775,0.0022775
13,1078.1,1.21969,0.64359,1.04528,0.95959,0.9449,0.98252,0.67023,1.15225,0.55158,1.05032,0.00203,0.00203,0.00203
14,1164.1,1.20008,0.61397,1.03316,0.961,0.94903,0.98278,0.66473,1.15206,0.53881,1.04671,0.0017825,0.0017825,0.0017825
15,1241.58,1.16714,0.59777,1.0213,0.96885,0.95818,0.98599,0.67753,1.15421,0.53658,1.03776,0.001535,0.001535,0.001535
16,1327.09,1.18361,0.59477,1.02851,0.95061,0.96368,0.98686,0.68293,1.1332,0.51643,1.03099,0.0012875,0.0012875,0.0012875
17,1400.99,1.15512,0.57438,1.01876,0.9722,0.96791,0.98816,0.68137,1.13776,0.50483,1.03724,0.00104,0.00104,0.00104
18,1490.4,1.1172,0.55836,1.00653,0.9618,0.96962,0.98948,0.68455,1.13865,0.50266,1.02844,0.0007925,0.0007925,0.0007925
19,1573.91,1.13152,0.5496,1.00352,0.96554,0.97114,0.98858,0.68297,1.15529,0.49068,1.03796,0.000545,0.000545,0.000545
20,1670.46,1.13953,0.54197,1.01122,0.97167,0.96662,0.98884,0.70503,1.09848,0.46777,1.02039,0.0002975,0.0002975,0.0002975
